SWIS,Longitude,Latitude,LandfillName,City,LandfillOwnershipType,Owner,Class,TypeOfWaste,TypeOfWaste2,CurrentLandfillStatus,YearOpened,YearClosed,YearRange,Converted,ConversionType,SiteConversion,SiteRegulartoryStatus,DocumentationLink
"49-AA-0352","[122.7131341, 122.7131048, 122.71310159999999, 122.7131341]","[38.311249600000004, 38.311249600000004, 38.3112266, 38.3112266]","Cotati Corporation Yard","Cotati","Public","County Of Sonoma Public Works Dept","nan","nan","nan","Closed","nan","nan","No information on years of operation.","Not Converted","nan","nan","Pre-Regulation","nan"
"49-AA-0353","[122.93903519999999, 122.93902209999999, 122.93902539999999, 122.9390384]","[38.4358059, 38.435811, 38.435783, 38.4357804]","Occidental DS","Occidental","Public","County Of Sonoma Public Works Dept","nan","Burn Dump","nan","Closed","1930.0","1977.0","nan","Not Converted","nan","nan","Pre-Regulation","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/64087"
"49-AA-0354","[122.8086592, 122.8085746, 122.8085844, 122.8086624]","[38.3148981, 38.3149185, 38.314890399999996, 38.314887899999995]","Roblar Road","Petaluma","Public","County Of Sonoma Public Works Dept","nan","Burn Dump","nan","Closed","1956.0","1973.0","nan","Not Converted","nan","nan","Pre-Regulation","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/64100"
"49-AA-0355","[122.998291, 122.9982386, 122.9982386, 122.9982975]","[38.832534, 38.8325238, 38.8324779, 38.8324779]","Pine Mountain Burn Dump","Cloverdale","nan","nan","nan","Burn Dump","nan","Closed","1930.0","1969.0","Opening year is an estimate, the landfill opened sometime in the 1930's","Not Converted","nan","nan","Pre-Regulation","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/64119"
"49-AA-0357","[122.8195683, 122.81958359999999, 122.8189223, 122.818495, 122.81845940000001, 122.8186324, 122.8188206, 122.8192936, 122.8195683, 122.81977690000001, 122.81931399999999]","[38.4089269, 38.4090345, 38.409473, 38.4092298, 38.408875099999996, 38.4084924, 38.407759000000006, 38.4076115, 38.4076235, 38.407735100000004, 38.4082054]","Sebastopol Burn Dump","Sebastopol","Public","City Of Sebastopol Public Works Dept","nan","nan","nan","Closed","nan","1966.0","No opening date.","Converted ","Public","Baseball Fields","Pre-Regulation","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/64135"
"49-AA-0358","[122.7630175, 122.7629666, 122.7629105, 122.7629105, 122.76301240000001]","[38.5260101, 38.526034100000004, 38.526034100000004, 38.525974299999994, 38.5259783]","Shiloh Disposal Site","Santa Rosa","Private","Shilo Associates","nan","Burn Dump","nan","Closed","nan","1960.0","No opening date.","nan","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/235737"
"49-AA-0361","[122.7516976, 122.75137450000001, 122.7516852]","[38.4433905, 38.44331270000001, 38.44329320000001]","West College Disposal Site","Santa Rosa","Public","City Of Santa Rosa Publ Wks-Admin Dr","nan","Burn Dump","nan","Closed","nan","1972.0","No opening date.","nan","nan","nan","Pre-Regulation","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/64185"
"49-CR-0017","[123.4236603, 123.4234733, 123.42344840000001, 123.423598]","[38.6993569, 38.6994445, 38.699318, 38.6992498]","Sea Ranch Dump Site","Annapolis","nan","nan","nan","nan","nan","Closed","nan","1970.0","No opening date.","Not Converted","nan","nan","Pre-Regulation","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/64472"
"49-CR-0024","[122.5415938, 122.541292, 122.5414429, 122.54168909999999, 122.5423402, 122.5426182, 122.5433805, 122.5437061, 122.5441747, 122.5446273, 122.5448655, 122.54485759999999, 122.5440794, 122.54365049999998, 122.5431582, 122.5428008, 122.5418558]","[38.341623799999994, 38.340664600000004, 38.3405214, 38.3401352, 38.3400293, 38.339842499999996, 38.3397615, 38.3399297, 38.3405525, 38.340839, 38.3412937, 38.3414308, 38.3412937, 38.3413373, 38.341736, 38.34171729999999, 38.3418356]","Sonoma Developmental Center UDA (2136)","Eldridge","Public","State of California","nan","nan","nan","Closed","1891.0","1964.0","Dates are estimasted in documentation.","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/279359"
"49-CR-0027","[122.82278659999999, 122.8227082, 122.82290060000001, 122.8234206, 122.82394769999999, 122.82422549999998, 122.82541499999999, 122.8255575, 122.82506599999999]","[38.5098051, 38.5065555, 38.5064886, 38.506366, 38.5063269, 38.506544299999995, 38.5072634, 38.5078598, 38.5098163]","Airport Disposal Site","Windsor","Public","County Of Sonoma Public Works Dept","nan","nan","nan","Closed","nan","1971.0","No opening date.","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/393434"
"49-CR-0034","[122.7906876, 122.79047450000002, 122.78965819999999, 122.78914009999998, 122.7886574, 122.7885935, 122.7887, 122.7891472, 122.78975759999999, 122.7902828, 122.79059509999999, 122.7907513, 122.7916314, 122.7915746, 122.7914398, 122.7915342, 122.79113600000001]","[38.251853499999996, 38.2517146, 38.251302100000004, 38.2509621, 38.2508061, 38.2505218, 38.2501149, 38.249730299999996, 38.249602100000004, 38.2494516, 38.2494683, 38.2497637, 38.2511795, 38.251268700000004, 38.251619899999994, 38.2519835, 38.252212899999996]","USCG Training Center Petaluma","Petaluma","nan","nan","Class III","Non-Hazardous Waste","nan","Closed","nan","1971.0","No opening date.","Not Converted","nan","nan","Pre-Regulation","https://www2.calrecycle.ca.gov/SolidWaste/SiteInspection/Details/64568"
"49-CR-0041","[123.00792379999999, 123.0065895, 123.00618999999999, 123.00840320000002, 123.00886670000001]","[38.7878329, 38.78843079999999, 38.7881505, 38.7866932, 38.7872226]","Asti Road Landfill","Cloverdale","nan","nan","nan","nan","nan","Closed","nan","1970.0","No opening date and the closure date is an estimate","Partially Converted","Public","Baseball Field","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/197921"
"49-CR-0042","[122.60683059999998, 122.6062318, 122.60588670000001, 122.60583090000002, 122.6060085, 122.60582079999999, 122.60560759999998, 122.6057193, 122.60586140000001, 122.60600349999999, 122.6060136, 122.6064855, 122.60653629999999, 122.60634340000001, 122.6066378, 122.60642460000001, 122.6070285]","[38.231016100000005, 38.2308487, 38.230749100000004, 38.230677299999996, 38.230470000000004, 38.2301631, 38.2299439, 38.2298123, 38.2296608, 38.229621, 38.229529299999996, 38.2292104, 38.2292463, 38.2295891, 38.2298601, 38.2302149, 38.2308208]","Former Royal Tallow and Soap Facility","Petaluma","Private","Darling International, Inc.","Class III","Non-Hazardous Waste","Burn Dump","Closed","nan","nan","No opening or closure date.","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/429624"
"07-CR-0045","nan","nan","Taylor Blvd.Bridge Disposal Site - #30","Clyde","Private","U S Dept. of Navy","Class II","nan","nan","Closed","nan","1950.0","Estimated closure","Not Converted","nan","nan","Unpermitted","nan"
"43-AA-0034","nan","nan","Pacheco Pass Transfer Station","Gilroy","Private","Recology Pacheco Pass","Class III","Non-Hazardous Waste","nan","Closed","1985.0","2008.0","nan","nan","nan","nan","Surrendered","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/197573"
"43-AN-0032","nan","nan","ECO Box Recycling, Inc.","San Jose","Private","ECO Box Recycling, Inc.","nan","Inert Waste","nan","Closed","nan","2016.0","No opening year","nan","nan","nan","Surrendered","https://www2.calrecycle.ca.gov/SolidWaste/SiteActivity/Details/4967?siteID=5180"
"43-AN-0029","nan","nan","Beck`s Property and Tree Service","San Jose","Private","Beck's Property and Tree Service","Class III","Non-Hazardous Waste","nan","Closed","nan","2009.0","No opening year","Converted ","Commercial","Car Demolition","Notification","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/219253"
